IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2182,"{35, 38, 42, 13, 16}","{3, 36, 37, 4, 38, 40, 10, 25, 26}",1,[38],3,False
2183,"{6, 39, 40, 16, 28}","{3, 36, 37, 4, 6, 40, 10, 11, 18, 25, 26}",3,"[40, 6]",2,True
2184,"{4, 9, 43, 20, 25}","{33, 34, 36, 37, 4, 7, 10, 11, 18, 20, 24, 25, 26, 27}",3,"[25, 4, 20]",14,False
2185,"{3, 5, 40, 10, 30}","{33, 34, 36, 37, 7, 10, 11, 18, 19, 23, 24, 26, 27}",2,[10],8,True
2186,"{34, 38, 40, 14, 27}","{33, 34, 1, 36, 37, 7, 8, 41, 11, 18, 19, 23, 24, 26, 27, 31}",2,"[34, 27]",14,False
2187,"{4, 41, 43, 18, 30}","{1, 33, 7, 8, 41, 42, 11, 19, 23, 24, 31}",1,[41],11,False
2188,"{21, 26, 27, 30, 31}","{1, 33, 7, 8, 42, 11, 16, 19, 23, 24, 31}",1,[31],2,False
2189,"{33, 5, 7, 20, 26}","{1, 33, 35, 7, 8, 9, 42, 11, 13, 16, 19, 20, 23, 24, 28}",3,"[33, 20, 7]",14,False
2190,"{38, 42, 15, 20, 27}","{35, 3, 6, 9, 11, 13, 16, 17, 19, 23, 24, 28}",0,[],3,False
2191,"{36, 13, 19, 21, 25}","{34, 35, 3, 6, 9, 11, 13, 16, 17, 19, 23, 28}",2,"[19, 13]",12,False
2192,"{37, 5, 40, 10, 14}","{34, 35, 3, 6, 40, 9, 11, 14, 16, 17, 23, 28}",3,"[40, 14]",6,True
2193,"{6, 41, 20, 25, 29}","{34, 35, 4, 6, 43, 16, 17, 18, 23, 28, 30}",1,[6],4,False
2194,"{35, 13, 17, 25, 26}","{34, 4, 39, 7, 43, 16, 17, 18, 23, 28, 30}",1,[17],4,False
2195,"{32, 35, 37, 20, 24}","{33, 4, 38, 39, 7, 42, 43, 15, 18, 23, 27, 30, 31}",1,[],5,True
2196,"{5, 6, 17, 22, 31}","{33, 3, 4, 38, 39, 7, 42, 43, 15, 18, 23, 27, 30, 31}",1,[31],10,False
2197,"{43, 22, 24, 28, 31}","{33, 3, 4, 36, 38, 39, 7, 42, 43, 15, 21, 23, 27, 30}",1,[43],4,False
2198,"{32, 1, 7, 43, 12}","{33, 3, 36, 4, 38, 39, 7, 40, 42, 14, 15, 21, 23, 27, 29, 30}",1,[7],1,False
2199,"{1, 14, 18, 19, 26}","{33, 3, 36, 4, 38, 39, 40, 14, 15, 21, 23, 27, 29}",1,[14],10,False
2200,"{32, 39, 16, 28, 30}","{33, 3, 36, 4, 37, 39, 40, 41, 15, 20, 21, 23, 27, 29}",2,[39],11,True
2201,"{39, 7, 9, 14, 28}","{33, 3, 36, 5, 37, 4, 40, 41, 10, 13, 20, 21, 22, 25, 27, 29}",1,[],9,True
2202,"{32, 9, 24, 29, 30}","{33, 35, 3, 37, 5, 40, 41, 10, 13, 20, 21, 22, 25, 29}",2,[29],14,True
2203,"{38, 7, 8, 11, 12}","{35, 3, 37, 5, 6, 40, 41, 10, 12, 13, 20, 21, 22, 25}",2,[12],5,True
2204,"{1, 8, 42, 12, 13}","{1, 35, 3, 37, 6, 5, 41, 10, 43, 13, 21, 22, 25, 31}",2,"[1, 13]",5,False
