IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2169,"{5, 12, 18, 21, 22}","{34, 2, 5, 38, 8, 11, 13, 14, 15, 18, 22, 24, 30, 31}",3,"[18, 5, 22]",2,False
2170,"{32, 35, 7, 9, 21}","{1, 2, 34, 35, 8, 40, 41, 11, 13, 14, 15, 24, 30, 31}",2,[35],7,True
2171,"{2, 3, 34, 7, 24}","{1, 34, 2, 36, 8, 41, 40, 11, 43, 13, 14, 15, 30, 31}",3,"[2, 34]",3,True
2172,"{2, 34, 38, 13, 16}","{1, 8, 11, 13, 14, 15, 17, 20, 23, 26, 29, 30, 31, 33, 36, 39, 40, 41, 43}",1,[13],16,False
2173,"{33, 38, 23, 28, 31}","{1, 4, 8, 11, 12, 14, 15, 17, 20, 23, 29, 31, 33, 36, 39, 40, 41, 42, 43}",3,"[33, 31, 23]",4,False
2174,"{34, 16, 18, 28, 30}","{1, 4, 36, 5, 39, 8, 41, 42, 11, 43, 12, 14, 15, 17, 19, 20, 26, 29}",0,[],1,False
2175,"{34, 5, 39, 19, 24}","{32, 35, 4, 5, 36, 39, 9, 41, 11, 42, 12, 14, 17, 19, 20, 21, 26, 29}",4,"[19, 5, 39]",13,True
2176,"{33, 40, 22, 29, 30}","{32, 35, 3, 4, 7, 9, 42, 11, 12, 41, 14, 17, 20, 21, 22, 26, 29}",2,"[29, 22]",3,False
2177,"{33, 37, 43, 13, 28}","{32, 35, 3, 4, 7, 9, 42, 11, 12, 41, 14, 17, 20, 21, 26}",0,[],14,False
2178,"{32, 35, 4, 14, 28}","{32, 2, 35, 3, 4, 38, 7, 9, 42, 11, 12, 14, 16, 20, 21}",5,"[32, 35, 4, 14]",15,True
2179,"{1, 43, 15, 27, 30}","{2, 3, 38, 7, 42, 11, 12, 16, 20, 21, 23}",0,[],3,False
2180,"{7, 10, 13, 28, 31}","{2, 3, 5, 7, 40, 39, 42, 11, 18, 20, 21, 23, 24}",2,[7],2,True
2181,"{39, 13, 14, 27, 28}","{2, 5, 38, 39, 40, 42, 11, 16, 18, 19, 21, 23, 24}",1,[39],13,False
2182,"{32, 36, 5, 12, 18}","{33, 2, 34, 5, 38, 40, 42, 11, 16, 18, 19, 21, 23, 24, 29}",3,"[18, 5]",12,True
2183,"{3, 38, 23, 29, 30}","{33, 34, 2, 4, 38, 40, 42, 11, 10, 43, 16, 19, 22, 23, 24, 29}",3,"[29, 38, 23]",3,False
2184,"{6, 7, 15, 17, 31}","{33, 34, 35, 4, 2, 40, 42, 43, 11, 10, 16, 19, 22, 24}",0,[],12,False
2185,"{34, 35, 12, 19, 24}","{33, 34, 35, 4, 36, 42, 43, 10, 11, 19, 22, 28}",3,"[19, 34, 35]",10,False
2186,"{3, 41, 10, 11, 19}","{4, 36, 39, 42, 43, 10, 11, 22, 27, 28}",2,"[10, 11]",15,False
2187,"{2, 6, 11, 19, 22}","{32, 1, 4, 36, 5, 39, 37, 13, 22, 27, 28}",2,[22],16,True
2188,"{5, 11, 22, 23, 24}","{32, 1, 4, 5, 38, 39, 37, 36, 42, 13, 18, 27, 28, 30}",1,[5],15,False
2189,"{4, 38, 12, 14, 28}","{32, 1, 4, 37, 38, 39, 7, 12, 13, 14, 18, 27, 28, 29, 30}",5,"[4, 38, 12, 14, 28]",10,False
2190,"{32, 38, 22, 23, 28}","{32, 1, 36, 37, 7, 39, 13, 18, 27, 29, 30}",1,[32],5,False
2191,"{42, 23, 26, 27, 31}","{1, 3, 35, 37, 36, 7, 39, 41, 10, 13, 15, 17, 18, 27, 29, 30, 31}",2,"[27, 31]",4,False
2192,"{1, 36, 8, 21, 28}","{34, 35, 3, 37, 36, 7, 6, 41, 10, 15, 17, 18, 29, 30}",1,[36],5,False
2193,"{33, 6, 40, 42, 29}","{34, 35, 3, 37, 6, 7, 5, 41, 10, 12, 15, 17, 18, 19, 24, 29, 30}",3,"[29, 6]",12,True
2194,"{10, 17, 18, 25, 28}","{34, 35, 3, 37, 5, 2, 7, 41, 10, 11, 12, 15, 17, 18, 19, 24, 30}",3,"[17, 10, 18]",16,False
2195,"{3, 7, 10, 26, 31}","{32, 2, 34, 35, 37, 5, 38, 3, 41, 7, 11, 12, 4, 15, 19, 24, 26, 30}",3,"[26, 3, 7]",8,False
